district,Season,rainfall,temperature,humidity,ph,organic_carbon,sand,clay,silt,soil_texture
Ajmer,Kharif,786.9424964914011,27.920895933994814,65.01905813667341,7.483101302382153,0.7415093976612266,32.89577793930147,23.189653688001226,43.9144725913661,Loam
Ajmer,Rabi,15.585613557856169,19.52005665634262,44.29126614595124,7.483101302382153,0.7415093976612266,32.89577793930147,23.189653688001226,43.9144725913661,Loam
Ajmer,Zaid,30.970623980977827,31.5162486300864,24.186001415061646,7.483101302382153,0.7415093976612266,32.89577793930147,23.189653688001226,43.9144725913661,Loam
Alwar,Kharif,826.4775183252347,28.41467457108096,66.79728457542146,7.431135494000176,1.0529518117267935,45.67522844606345,24.9666334725782,29.35815412015693,Loam
Alwar,Rabi,37.2089146065308,18.215349917769633,55.61805287749498,7.431135494000176,1.0529518117267935,45.67522844606345,24.9666334725782,29.35815412015693,Loam
Alwar,Zaid,36.52135072201993,30.612389111218466,29.10887556392604,7.431135494000176,1.0529518117267935,45.67522844606345,24.9666334725782,29.35815412015693,Loam
Banswara,Kharif,1170.826316073416,27.076896659875025,74.46193707572107,7.279456939407893,0.998926055083475,36.036171122442354,27.306582231712007,36.657470083764224,Clay Loam
Banswara,Rabi,7.628438145802219,22.482162799474317,45.115258822094724,7.279456939407893,0.998926055083475,36.036171122442354,27.306582231712007,36.657470083764224,Clay Loam
Banswara,Zaid,15.664833308273876,31.369167657799515,34.33840236122917,7.279456939407893,0.998926055083475,36.036171122442354,27.306582231712007,36.657470083764224,Clay Loam
Baran,Kharif,1108.5643677562045,27.79901710585552,70.33810133015511,7.310498511980818,0.787739078833932,41.22755819494017,27.57705055574565,31.195185078293044,Clay Loam
Baran,Rabi,25.571721580886646,20.318759732023288,50.78828664282654,7.310498511980818,0.787739078833932,41.22755819494017,27.57705055574565,31.195185078293044,Clay Loam
Baran,Zaid,15.43534089617258,31.80087981284572,27.731129314243038,7.310498511980818,0.787739078833932,41.22755819494017,27.57705055574565,31.195185078293044,Clay Loam
Barmer,Kharif,460.4731669575378,30.121576857009376,58.644145384325306,7.865942379493807,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam
Barmer,Rabi,6.1159511723453805,21.88171124176846,34.18669036274774,7.865942379493807,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam
Barmer,Zaid,15.52388438406707,32.88702454459859,26.347875685281103,7.865942379493807,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam
Bharatpur,Kharif,821.2816506394496,28.89597368548554,68.14614595678715,7.735500321128259,0.8720525911950796,44.87451725968808,27.175172041928484,27.9501141011255,Clay Loam
Bharatpur,Rabi,33.77985470942753,18.413185144068194,59.9649187194597,7.735500321128259,0.8720525911950796,44.87451725968808,27.175172041928484,27.9501141011255,Clay Loam
Bharatpur,Zaid,26.957414387390997,30.883280431211233,31.349216380725295,7.735500321128259,0.8720525911950796,44.87451725968808,27.175172041928484,27.9501141011255,Clay Loam
Bhilwara,Kharif,939.3381590613986,27.43443529222754,67.50437900484621,7.394414449709638,0.7807999519924316,35.24014643085083,27.321630816527723,37.43825725794166,Clay Loam
Bhilwara,Rabi,13.036923611858617,19.68581265060403,46.309545145580195,7.394414449709638,0.7807999519924316,35.24014643085083,27.321630816527723,37.43825725794166,Clay Loam
Bhilwara,Zaid,25.284225010549694,31.501533472037625,25.00664762923498,7.394414449709638,0.7807999519924316,35.24014643085083,27.321630816527723,37.43825725794166,Clay Loam
Bikaner,Kharif,376.23126775782754,31.58226855061822,50.12674759768004,8.03242181095953,0.5236890079298842,51.19230505500413,24.099762137057745,24.70795061253445,Loam
Bikaner,Rabi,10.104372528222372,19.639783357931115,42.62172404370624,8.03242181095953,0.5236890079298842,51.19230505500413,24.099762137057745,24.70795061253445,Loam
Bikaner,Zaid,28.894965169747206,32.8257554962337,21.332727848946973,8.03242181095953,0.5236890079298842,51.19230505500413,24.099762137057745,24.70795061253445,Loam
Bundi,Kharif,996.5879912821623,28.352262982464076,67.4309229963192,7.345372898579913,0.8640630543862734,42.28414376430791,27.18739714901769,30.52879617131715,Clay Loam
Bundi,Rabi,15.833771401934062,20.004128217311788,51.26636632759662,7.345372898579913,0.8640630543862734,42.28414376430791,27.18739714901769,30.52879617131715,Clay Loam
Bundi,Zaid,19.252459309325914,32.34066464612473,25.01887168776546,7.345372898579913,0.8640630543862734,42.28414376430791,27.18739714901769,30.52879617131715,Clay Loam
Chittorgarh,Kharif,1103.2837035380053,26.790914686302166,71.49316084155512,7.311872884947514,0.8865564126708907,33.46105777762949,35.197051820377986,31.341929188327544,Clay Loam
Chittorgarh,Rabi,13.934207147987532,20.31452134272812,47.992150608589554,7.311872884947514,0.8865564126708907,33.46105777762949,35.197051820377986,31.341929188327544,Clay Loam
Chittorgarh,Zaid,23.326508804998575,31.119914148658882,28.618650117938877,7.311872884947514,0.8865564126708907,33.46105777762949,35.197051820377986,31.341929188327544,Clay Loam
